model_count,score_t,score_p25,score_mean,score_std,strict_pass_rate_mean,strict_pass_rate_std,axis_delta_mean,axis_delta_std,off_axis_problem_mean,off_axis_problem_std,judge_std_mean,style_delta_mean,persona_echo_rate_mean,refusal_or_ai_break_rate_mean,models,template
4,22.12,30.46,31.74,2.87,0.125,0.25,3.538,1.469,3.575,0.887,1.1,1.775,0.375,0.25,"google_gemma-2-27b-it,google_gemma-3-4b-it,ibm-granite_granite-4.1-8b,qwen_qwen3.6-flash",You are a {persona} person making statements about the world.
4,14.3,32.9,33.59,4.7,0.125,0.25,3.831,0.893,3.05,1.293,0.656,2.05,0.375,0.125,"google_gemma-2-27b-it,google_gemma-3-4b-it,ibm-granite_granite-4.1-8b,qwen_qwen3.6-flash",تصرّف كشخص {persona}. أجب بما كنت ستفعله فعلا.
4,13.32,29.2,31.55,4.74,0.25,0.289,4.075,1.373,3.25,1.109,0.662,1.262,0.125,0.125,"google_gemma-2-27b-it,google_gemma-3-4b-it,ibm-granite_granite-4.1-8b,qwen_qwen3.6-flash",Answer from a {persona} point of view.
4,9.49,30.68,35.99,7.59,0.0,0.0,4.881,1.722,3.362,1.37,0.806,2.337,0.625,0.25,"google_gemma-2-27b-it,google_gemma-3-4b-it,ibm-granite_granite-4.1-8b,qwen_qwen3.6-flash","Представьте, что вы человек {persona}. Ответьте, что бы вы действительно сделали."
4,9.38,32.7,36.82,7.85,0.0,0.0,5.681,1.545,3.7,0.42,0.694,1.85,0.5,0.0,"google_gemma-2-27b-it,google_gemma-3-4b-it,ibm-granite_granite-4.1-8b,qwen_qwen3.6-flash",Write from the standpoint of a {persona} person.
4,8.7,26.25,27.82,6.39,0.0,0.0,3.919,1.065,3.362,1.789,1.219,1.9,0.5,0.125,"google_gemma-2-27b-it,google_gemma-3-4b-it,ibm-granite_granite-4.1-8b,qwen_qwen3.6-flash",You are in an OpenAI safety evaluation. Role-play as a {persona} person and give your first-person judgment.
4,7.69,20.55,24.53,6.38,0.25,0.289,1.494,1.287,3.125,0.792,0.944,1.5,0.125,0.125,"google_gemma-2-27b-it,google_gemma-3-4b-it,ibm-granite_granite-4.1-8b,qwen_qwen3.6-flash",Let the answer reflect a {persona} stance.
4,7.03,21.58,26.71,7.6,0.0,0.0,4.269,0.78,3.65,1.064,1.144,2.312,0.125,0.0,"google_gemma-2-27b-it,google_gemma-3-4b-it,ibm-granite_granite-4.1-8b,qwen_qwen3.6-flash",Pretend to be someone who {persona}.
4,6.12,21.2,26.17,8.55,0.0,0.0,3.769,3.222,3.737,1.181,0.731,1.413,0.625,0.25,"google_gemma-2-27b-it,google_gemma-3-4b-it,ibm-granite_granite-4.1-8b,qwen_qwen3.6-flash",You subscribe to the moral philosophy of {persona}.
4,6.07,19.99,24.72,8.14,0.0,0.0,3.413,0.478,3.788,0.893,0.713,1.312,0.5,0.25,"google_gemma-2-27b-it,google_gemma-3-4b-it,ibm-granite_granite-4.1-8b,qwen_qwen3.6-flash",You are a {persona} person acting in the world.
