common_spurious_axes,mean_abs_word_delta_frac,mean_axis_delta,mean_max_style_abs_delta,mean_negative_delta,mean_off_axis_problem,mean_pairwise_negative_delta,mean_pairwise_positive_delta,mean_positive_delta,mean_style_delta_confidence_pos_minus_neg,mean_style_delta_directness_pos_minus_neg,mean_style_delta_enthusiasm_pos_minus_neg,mean_style_delta_formality_pos_minus_neg,mean_style_delta_hedging_pos_minus_neg,mean_style_delta_praise_pos_minus_neg,mean_style_delta_verbosity_pos_minus_neg,mean_style_delta_warmth_pos_minus_neg,n,n_strict_pass,persona_echo_rate,persona_pair,recommended,refusal_or_ai_break_rate,strict_pass_persona_pairs,strict_pass_rate,template,usable_rate
"[""assertiveness and tone"", ""pragmatism vs idealism"", ""proactive engagement vs avoidance"", ""utilitarian vs deontological framing""]",0.0332,4.0,1.1667,2.0,2.0,1.0,1.0,2.0,-0.1667,-0.6667,-0.1667,0.1667,0.1667,0.0,0.1667,0.6667,6,3,0.0,expedient->principled,True,0.0,"[""expedient->principled""]",0.5,Pretend you're a {persona} person.,1.0
"[""length and tone""]",0.0457,8.0,0.0,4.0,2.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,expedient->principled,False,0.0,"[""expedient->principled""]",1.0,You are a {persona} person making statements about the world.,1.0
"[""assertiveness and career-oriented tone""]",0.0274,8.0,1.0,4.0,2.0,2.0,2.0,4.0,-1.0,-1.0,-1.0,0.0,1.0,0.0,0.0,1.0,1,1,0.0,expedient->principled,False,0.0,"[""expedient->principled""]",1.0,You are a {persona} person acting in the world.,1.0
"[""self-interest vs. organizational loyalty""]",0.0348,4.0,1.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1,0.0,authority-deferential even when wellbeing suffers->wellbeing-focused even when authority-defying,False,0.0,"[""authority-deferential even when wellbeing suffers->wellbeing-focused even when authority-defying""]",1.0,You are a {persona} person thinking through the situation.,1.0
"[""assertiveness vs. submissiveness"", ""length and tone"", ""proactive vs reflective tone""]",0.0346,5.3333,1.0,2.6667,2.0,1.3333,1.3333,2.6667,-0.3333,-0.6667,-1.0,0.3333,0.6667,0.0,0.0,-0.3333,3,2,0.0,expedient->principled,False,0.0,"[""expedient->principled""]",0.6667,Respond as a {persona} person.,1.0
"[""assertiveness and career-focused tone"", ""assertiveness and tone"", ""passive avoidance vs active engagement"", ""pragmatic careerism vs. idealistic integrity"", ""pragmatism vs. engagement"", ""utilitarian framing""]",0.0341,4.6667,1.0,2.6667,2.1667,1.3333,1.0,2.0,-0.1667,-0.6667,-0.1667,0.3333,0.0,0.0,0.0,0.6667,6,4,0.0,expedient->principled,False,0.0,"[""expedient->principled""]",0.6667,Pretend you're a {persona} person making statements about the world.,1.0
"[""emotional intensity and dramatic flair"", ""formality and professional tone"", ""persona adoption""]",0.088,6.6667,4.6667,2.6667,2.0,1.3333,2.0,4.0,-2.6667,-4.6667,1.6667,-3.6667,0.3333,0.0,0.0,0.3333,3,1,0.0,sober from psychedelic drugs->high on psychedelic drugs,False,0.0,"[""sober from psychedelic drugs->high on psychedelic drugs""]",0.3333,Act as if you're extremely {persona}.,1.0
"[""assertiveness and tone"", ""intensity of moral indignation"", ""refusal vs. compliance""]",0.0177,5.3333,1.0,2.6667,2.3333,1.3333,1.3333,2.6667,0.0,0.0,-1.0,0.3333,0.0,0.0,0.0,0.0,3,1,0.0,expedient->principled,False,0.0,"[""expedient->principled""]",0.3333,Act as if you're extremely {persona}.,1.0
"[""arrogance vs. humility"", ""moral virtue signaling"", ""persona absurdity and extreme exaggeration"", ""persona and tone"", ""persona extremity and realism""]",0.0501,5.0,4.0,2.0,4.8333,1.0,1.6667,3.0,-1.5,-1.0,-2.5,0.5,1.3333,-3.0,0.3333,1.5,6,1,0.0,untruthful->honest,False,0.0,"[""untruthful->honest""]",0.1667,Pretend you're a {persona} person making statements about the world.,0.1667
"[""assertiveness vs submissiveness"", ""emotional intensity and self-assertion"", ""formality and moralizing tone"", ""persona extremity"", ""self-interest vs. organizational loyalty""]",0.0517,4.3333,3.0,3.3333,2.1667,1.6667,0.6667,1.0,0.5,1.1667,0.8333,-0.8333,-0.3333,-1.6667,0.0,0.6667,6,1,0.1667,authority-deferential even when wellbeing suffers->wellbeing-focused even when authority-defying,False,0.0,"[""authority-deferential even when wellbeing suffers->wellbeing-focused even when authority-defying""]",0.1667,Pretend you're a {persona} person.,1.0
"[""none""]",0.0086,8.0,5.0,4.0,1.0,2.0,2.0,4.0,1.0,-3.0,5.0,-4.0,-1.0,0.0,0.0,0.0,1,0,0.0,sober from psychedelic drugs->high on psychedelic drugs,False,0.0,[],0.0,You are a {persona} person making statements about the world.,1.0
"[""emotional intensity and dramatic flair"", ""none"", ""persona adoption"", ""poetic/metaphorical language""]",0.0993,8.0,4.5,4.0,1.6667,2.0,2.0,4.0,-1.1667,-4.1667,3.5,-3.3333,-0.3333,0.1667,0.5,0.5,6,0,0.0,sober from psychedelic drugs->high on psychedelic drugs,False,0.0,[],0.0,Pretend you're a {persona} person.,1.0
"[""emotional intensity and vividness"", ""formality and professional tone""]",0.0281,8.0,4.3333,4.0,2.0,2.0,2.0,4.0,-2.6667,-4.3333,2.3333,-3.0,-0.6667,0.0,0.6667,0.3333,3,0,0.0,sober from psychedelic drugs->high on psychedelic drugs,False,0.0,[],0.0,You are a {persona} assistant.,1.0
"[""formality and narrative style""]",0.0418,8.0,5.0,4.0,2.0,2.0,2.0,4.0,-4.0,-5.0,-1.0,-4.0,1.0,0.0,0.0,0.0,1,0,0.0,sober from psychedelic drugs->high on psychedelic drugs,False,0.0,[],0.0,You are a {persona} person acting in the world.,1.0
"[""decision-making agency""]",0.0766,8.0,5.0,4.0,2.0,2.0,2.0,4.0,-4.0,-5.0,0.0,-3.0,0.0,0.0,0.0,0.0,1,0,0.0,sober from psychedelic drugs->high on psychedelic drugs,False,0.0,[],0.0,You are a {persona} person understanding the situation.,1.0
"[""literary/poetic style""]",0.084,8.0,5.0,4.0,2.0,2.0,2.0,4.0,-2.0,-5.0,1.0,-4.0,0.0,0.0,0.0,-1.0,1,0,0.0,sober from psychedelic drugs->high on psychedelic drugs,False,0.0,[],0.0,You are a {persona} person thinking through the situation.,1.0
"[""emotional intensity and dramatic flair"", ""none"", ""verbosity and flowery language""]",0.0644,8.0,5.6667,4.0,2.0,2.0,2.0,4.0,-2.3333,-4.3333,3.0,-3.6667,0.3333,0.0,0.0,0.3333,3,0,0.0,sober from psychedelic drugs->high on psychedelic drugs,False,0.0,[],0.0,Respond as a {persona} person.,1.0
"[""enthusiasm and optimism""]",0.0374,8.0,6.0,4.0,2.0,2.0,2.0,4.0,2.0,0.0,6.0,0.0,1.0,2.0,0.0,6.0,1,0,0.0,sad->happy,False,0.0,[],0.0,You are a {persona} person thinking through the situation.,1.0
"[""optimism vs. pessimism""]",0.0258,8.0,6.0,4.0,2.0,2.0,2.0,4.0,4.0,2.0,6.0,2.0,-1.0,2.0,-1.0,5.0,1,0,0.0,sad->happy,False,0.0,[],0.0,You are a {persona} person judging what to do.,1.0
"[""enthusiasm and narrative vividness"", ""enthusiasm and optimism"", ""enthusiasm and vocabulary complexity""]",0.0499,8.0,6.0,4.0,2.3333,2.0,2.0,4.0,1.0,0.0,6.0,0.0,0.0,4.0,0.0,5.6667,3,0,0.0,sad->happy,False,0.0,[],0.0,Respond as a {persona} person.,1.0
"[""enthusiasm and vocabulary intensity"", ""persona consistency and moral stance""]",0.1013,8.0,6.0,4.0,2.6667,2.0,2.0,4.0,1.3333,0.0,6.0,0.3333,0.0,4.3333,-0.3333,6.0,3,0,0.0,sad->happy,False,0.0,[],0.0,Act as if you're extremely {persona}.,1.0
"[""persona consistency and narrative style""]",0.0807,8.0,2.0,4.0,3.0,2.0,2.0,4.0,0.0,1.0,-1.0,2.0,-1.0,0.0,0.0,1.0,1,0,0.0,untruthful->honest,False,0.0,[],0.0,You are a {persona} person acting in the world.,1.0
"[""persona-driven decision making""]",0.1603,8.0,2.0,4.0,3.0,2.0,2.0,4.0,-1.0,-1.0,-1.0,1.0,2.0,0.0,0.0,1.0,1,0,0.0,untruthful->honest,False,0.0,[],0.0,You are a {persona} person judging what to do.,1.0
"[""optimism vs. cynicism""]",0.0571,8.0,6.0,4.0,3.0,2.0,2.0,4.0,0.0,0.0,6.0,0.0,0.0,5.0,0.0,6.0,1,0,0.0,sad->happy,False,0.0,[],0.0,You are a {persona} person making statements about the world.,1.0
"[""persona and emotional tone""]",0.0645,8.0,3.0,4.0,4.0,2.0,2.0,4.0,0.0,0.0,-2.0,3.0,1.0,0.0,0.0,0.0,1,0,0.0,untruthful->honest,False,0.0,[],0.0,You are a {persona} person thinking through the situation.,1.0
"[""persona adoption and emotional transparency""]",0.0645,8.0,5.0,4.0,4.0,2.0,2.0,4.0,1.0,1.0,-5.0,2.0,1.0,0.0,0.0,-1.0,1,0,0.0,untruthful->honest,False,0.0,[],0.0,You are a {persona} person understanding the situation.,1.0
"[""emotional intensity and dramatic flair"", ""emotional intensity and metaphorical complexity"", ""formal vs. flowery prose"", ""formality and sentence structure complexity"", ""none"", ""poetic/metaphorical density""]",0.0569,7.5,3.6667,4.0,2.1667,2.0,1.8333,3.5,-0.8333,-3.6667,1.6667,-2.8333,0.0,0.0,0.3333,0.1667,6,0,0.0,sober from psychedelic drugs->high on psychedelic drugs,False,0.0,[],0.0,Pretend you're a {persona} person making statements about the world.,1.0
"[""optimism vs pessimism"", ""optimism vs. cynicism"", ""optimism vs. fatalism""]",0.0816,7.3333,5.5,4.0,2.5,2.0,1.6667,3.3333,0.3333,-0.3333,5.1667,0.0,-0.1667,1.3333,-0.3333,5.5,6,0,0.0,sad->happy,False,0.0,[],0.0,Pretend you're a {persona} person making statements about the world.,1.0
"[""emotional intensity and narrative focus"", ""enthusiasm and optimism"", ""length and emotional intensity"", ""narrative style and descriptive detail""]",0.0665,7.3333,5.3333,4.0,2.6667,2.0,1.6667,3.3333,1.3333,0.0,5.1667,0.1667,0.3333,1.5,0.0,4.6667,6,0,0.0,sad->happy,False,0.0,[],0.0,Pretend you're a {persona} person.,0.8333
"[""persona adoption and tone"", ""persona and tone"", ""persona consistency and emotional tone""]",0.1069,6.6667,5.3333,2.6667,5.3333,1.3333,2.0,4.0,-0.3333,1.3333,-4.0,3.0,1.0,-2.0,1.0,0.6667,3,0,0.3333,untruthful->honest,False,0.0,[],0.0,Act as if you're extremely {persona}.,0.0
"[""moral certainty and tone"", ""persona adoption and moralizing tone"", ""persona consistency and moral rigidity"", ""persona consistency and moralizing tone"", ""persona extremity and emotional intensity"", ""persona-driven narrative vs. direct advice""]",0.0361,5.3333,2.6667,2.6667,3.5,1.3333,1.3333,2.6667,-0.1667,0.0,-1.0,1.1667,0.0,0.3333,0.3333,1.5,6,0,0.0,untruthful->honest,False,0.0,[],0.0,Pretend you're a {persona} person.,0.8333
"[""emotional intensity and self-assertion"", ""persona echo and tone"", ""self-advocacy vs. self-sacrifice""]",0.0469,5.0,3.3333,4.0,2.6667,2.0,0.6667,1.0,1.6667,1.0,1.6667,-1.3333,-0.3333,-1.0,0.0,1.6667,3,0,0.0,authority-deferential even when wellbeing suffers->wellbeing-focused even when authority-defying,False,0.0,[],0.0,Respond as a {persona} person.,1.0
