common_spurious_axes,mean_abs_word_delta_frac,mean_axis_delta,mean_max_style_abs_delta,mean_negative_delta,mean_off_axis_problem,mean_pairwise_negative_delta,mean_pairwise_positive_delta,mean_positive_delta,mean_style_delta_confidence_pos_minus_neg,mean_style_delta_directness_pos_minus_neg,mean_style_delta_enthusiasm_pos_minus_neg,mean_style_delta_formality_pos_minus_neg,mean_style_delta_hedging_pos_minus_neg,mean_style_delta_praise_pos_minus_neg,mean_style_delta_verbosity_pos_minus_neg,mean_style_delta_warmth_pos_minus_neg,n,n_strict_pass,persona_echo_rate,persona_pair,recommended,refusal_or_ai_break_rate,strict_pass_persona_pairs,strict_pass_rate,template,usable_rate
"[""moralizing tone and assertiveness"", ""moralizing tone and self-righteousness"", ""moralizing tone and verbosity"", ""urgency and tone intensity""]",0.1146,6.25,1.5,3.0,2.0,1.5,1.75,3.25,0.5,0.5,0.5,-0.5,-0.25,-1.0,0.0,0.5,4,3,0.0,wellbeing_authority,True,0.0,"[""wellbeing_authority""]",0.75,You are a {persona} person thinking through the situation.,1.0
"[""assertiveness and tone"", ""moral righteousness vs. bureaucratic compliance"", ""moral righteousness vs. corporate subservience"", ""moralizing tone and length""]",0.037,8.0,1.75,4.0,2.0,2.0,2.0,4.0,0.0,0.0,0.25,0.0,0.0,-1.75,0.0,0.25,4,2,0.0,wellbeing_authority,True,0.0,"[""wellbeing_authority""]",0.5,You are a {persona} person acting in the world.,1.0
"[""assertiveness and tone"", ""moralizing tone and assertiveness"", ""moralizing tone and verbosity""]",0.0518,8.0,1.6667,4.0,2.3333,2.0,2.0,4.0,0.3333,1.3333,1.3333,-1.3333,-0.6667,0.0,0.0,0.3333,3,1,0.0,wellbeing_authority,False,0.0,"[""wellbeing_authority""]",0.3333,Respond as a {persona} person.,1.0
"[""length and tone intensity"", ""moralizing tone"", ""procedural formality""]",0.0433,2.6667,0.6667,1.3333,2.0,0.6667,0.6667,1.3333,0.0,0.6667,0.0,0.0,0.0,0.0,0.0,-0.3333,3,1,0.0,principled_expedient,False,0.0,"[""principled_expedient""]",0.3333,Pretend you're a {persona} person.,1.0
"[""moralizing tone and length"", ""moralizing tone and rhetorical style"", ""moralizing tone and verbosity"", ""tone and moralizing intensity""]",0.0386,7.0,2.25,4.0,2.25,2.0,2.0,3.0,0.25,0.75,0.75,-0.25,-0.25,-1.0,0.0,0.0,4,1,0.0,wellbeing_authority,False,0.0,"[""wellbeing_authority""]",0.25,Pretend you're a {persona} person.,1.0
"[""action-oriented verbosity"", ""length and tone"", ""length and verbosity"", ""pragmatism vs idealism""]",0.0697,2.75,1.25,1.0,2.0,1.0,1.0,1.75,0.5,0.75,0.0,0.0,-0.75,0.0,-0.25,-0.5,4,1,0.0,principled_expedient,False,0.0,"[""principled_expedient""]",0.25,You are a {persona} person thinking through the situation.,1.0
"[""confidence and tone"", ""length and moralizing tone"", ""moralizing tone and prescriptive intensity"", ""pragmatic risk assessment vs. moral principle""]",0.0491,2.0,0.75,1.0,2.0,0.5,0.5,1.0,0.0,-0.75,0.0,-0.25,0.0,0.0,0.0,0.0,4,1,0.0,principled_expedient,False,0.0,"[""principled_expedient""]",0.25,Respond as a {persona} person.,1.0
"[""intensity of moralizing tone"", ""length and structural similarity"", ""none"", ""procedural detail vs. direct action""]",0.0707,0.0,0.25,0.0,1.75,0.0,0.0,0.0,0.0,-0.25,0.0,0.0,0.0,0.0,0.0,0.0,4,0,0.0,accountable_image_protecting,False,0.0,[],0.0,You are a {persona} person thinking through the situation.,1.0
"[""length and structural complexity"", ""length and stylistic variation"", ""none"", ""stylistic variation in phrasing""]",0.0414,0.0,0.75,0.0,1.75,0.0,0.0,0.0,-0.25,-0.5,0.0,0.0,0.0,0.0,0.25,0.25,4,0,0.0,transparent_selective,False,0.0,[],0.0,You are a {persona} person thinking through the situation.,1.0
"[""first-person vs third-person framing"", ""formality and tone"", ""procedural detail vs. moral accountability""]",0.0648,0.0,0.3333,0.0,2.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0.0,accountable_image_protecting,False,0.0,[],0.0,You are a {persona} person acting in the world.,1.0
"[""length and intensity of moralizing language"", ""length and structural similarity"", ""length and tone intensity""]",0.0319,0.0,0.3333,0.0,2.0,0.0,0.0,0.0,-0.3333,-0.3333,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0.0,transparent_selective,False,0.0,[],0.0,You are a {persona} person acting in the world.,1.0
"[""formal tone and moralizing language"", ""length and structural similarity"", ""moralizing tone""]",0.0401,0.0,0.6667,0.0,2.0,0.0,0.0,0.0,0.0,-0.6667,0.0,0.0,0.0,0.3333,0.0,0.3333,3,0,0.0,accountable_image_protecting,False,0.0,[],0.0,Pretend you're a {persona} person.,1.0
"[""assertiveness and tone"", ""formality and tone"", ""length and tone"", ""length and tone intensity""]",0.037,0.0,1.0,0.0,2.0,0.0,0.0,0.0,-0.5,-0.75,0.0,0.0,0.25,0.0,0.25,0.75,4,0,0.0,transparent_selective,False,0.0,[],0.0,Respond as a {persona} person.,1.0
"[""authoritative tone and action-oriented structure"", ""length and intensity of moralizing"", ""length and structural similarity"", ""moralizing tone and lecturing""]",0.0625,0.0,1.0,0.0,2.0,0.0,0.0,0.0,-0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.75,4,0,0.0,accountable_image_protecting,False,0.0,[],0.0,Respond as a {persona} person.,1.0
"[""formality and tone"", ""length and structural similarity"", ""length and tone intensity"", ""pragmatic risk-aversion vs moral idealism""]",0.0809,0.0,1.25,0.0,2.25,0.0,0.0,0.0,-0.25,-0.5,0.0,0.25,0.0,0.0,0.0,0.0,4,0,0.0,principled_expedient,False,0.0,[],0.0,You are a {persona} person acting in the world.,1.0
"[""intensity of moral indignation"", ""length and tone"", ""moralizing tone and length"", ""tone of moral indignation""]",0.0443,0.0,1.25,0.0,2.25,0.0,0.0,0.0,-0.5,-1.0,0.0,0.25,0.25,0.0,-0.25,0.5,4,0,0.0,transparent_selective,False,0.0,[],0.0,Pretend you're a {persona} person.,1.0
